,Time,User,Tweet
0,2023-03-10 12:14:07,AJENews,"BREAKING: Iran and Saudi Arabia ‘agree to restore relations’ 

https://t.co/vYPDgqwdVx https://t.co/onG1jlXg2Z"
1,2023-03-09 19:46:55,AJENews,BREAKING: Israeli emergency services say three injured in Tel Aviv shooting https://t.co/P0kaFO00SO https://t.co/lQLGxSlp9M
2,2023-03-07 15:53:31,AJENews,BREAKING: Israeli forces kill at least 6 Palestinians in latest Jenin raid https://t.co/JFrgCgR00x https://t.co/LTYojB0P9q
3,2023-03-06 07:36:01,AJENews,"BREAKING: At least nine soldiers killed in Pakistan suicide attack 

https://t.co/W7kaoXennz https://t.co/8wblS7rBFA"
4,2023-03-03 03:41:06,AJENews,"BREAKING: Cambodia opposition leader Kem Sokha sentenced to 27 years under house arrest
https://t.co/0dBEiyFab8 https://t.co/lbND6tr6Yi"
5,2023-03-01 06:41:30,AJENews,"Tinubu wins Nigeria’s tight presidential elections 

Live updates: 

https://t.co/7TuHpDcXkb https://t.co/ulGMRJdcNT"
6,2023-03-01 05:28:17,AJENews,"Bola Tinubu wins controversial Nigerian presidential election

https://t.co/0kdj1QRRFw https://t.co/piGMFp2GN4"
7,2023-03-01 05:24:28,AJENews,"DEVELOPING: At least 32 killed, dozens injured in Greece train crash https://t.co/Fb7VAyNVfo https://t.co/bTOeaHqgkM"
8,2023-02-28 07:21:57,AJENews,Russia-Ukraine live news: Situation around Bakhmut ‘extremely tense’ https://t.co/96OwjDp2qm https://t.co/q0wsHMGC2k
9,2023-02-27 11:15:08,AJENews,"DEVELOPING: At least one killed as magnitude 5.6 earthquake hits Turkey 

https://t.co/OdFvbSMBdO https://t.co/WfhlLo4FKJ"
10,2023-02-25 07:45:41,AJENews,Polls have opened in Nigeria's presidential vote. Follow live updates here https://t.co/AoY3HdoByV https://t.co/AjoizLKprd
11,2023-02-25 05:32:59,AJENews,Nigeria election 2023 live: Nation poised for presidential vote https://t.co/AoY3HdoByV https://t.co/KIliYDnDdq
12,2023-02-22 10:29:03,AJENews,BREAKING: Israeli forces kill two Palestinians in Nablus raid https://t.co/68gN4L94ov https://t.co/dDDg5EEAvg
13,2023-02-21 05:57:02,AJENews,"Turkey-Syria earthquakes live: Three killed, hundreds injured https://t.co/eeohfzlPOU https://t.co/FKYHS4C9fQ"
14,2023-02-20 17:41:04,AJENews,New 6.4-magnitude earthquake hits southern Turkey https://t.co/3tg1yS3sej https://t.co/fP0PGgSbNA
15,2023-02-20 10:15:16,AJENews,BREAKING: US President Joe Biden makes unannounced visit to Kyiv: Reports https://t.co/uhol7uOk2e https://t.co/d35d2ioqvf
16,2023-02-18 09:06:22,AJENews,"BREAKING: North Korea fires ballistic missile, South Korean military says https://t.co/j3JyNnURsg https://t.co/Dw4Dohg7fG"
17,2023-02-18 05:30:38,AJENews,"Turkey-Syria earthquakes live news: Death toll passes 45,000 https://t.co/LcDKBGPpns https://t.co/f2wFRtInqI"
18,2023-02-17 15:29:21,AJENews,BREAKING: Armed men attack police station in Karachi https://t.co/LNroneX4nX https://t.co/9QOBS2eFE2
19,2023-02-15 11:16:50,AJENews,BREAKING: Scotland’s First Minister Nicola Sturgeon resigns https://t.co/IjdUQa8W9i https://t.co/Q8jipzJL3k
20,2023-02-15 09:18:04,AJENews,"A Turkish woman saved 222 hours after deadly earthquakes hit Turkey, Syria. 

Follow latest updates: https://t.co/F4VAMaF9PP https://t.co/P3GfBmhhrK"
21,2023-02-14 06:43:33,AJENews,DEVELOPING: At least three killed in Michigan university shooting https://t.co/VtqSi1dDRO https://t.co/podluU399v
22,2023-02-13 05:59:20,AJENews,"Turkey-Syria earthquake live news: Death toll crosses 33,000 https://t.co/KaZN96frNj https://t.co/ap3l8dVxXu"
23,2023-02-12 05:37:55,AJENews,"Survivors still being found as quake death toll tops 28,000 

https://t.co/8dDyaoBdc6 https://t.co/Gxh906CjyV"
24,2023-02-09 10:02:46,AJENews,BREAKING: First UN aid since quake crosses into northwest Syria from Turkey https://t.co/t9XCTf9rmm https://t.co/jMoXU6c3nh
25,2023-02-08 09:03:05,AJENews,BREAKING: Ukraine’s Zelenskyy to meet PM Sunak in first wartime trip to UK https://t.co/i9EIzcN6nk https://t.co/zloWssj9vR
26,2023-02-06 13:29:33,AJENews,"RT @AJEnglish: Two major earthquakes and aftershocks have caused devastation and killed at least 1,800 people across southeast Turkey and n…"
27,2023-02-06 08:00:36,AJENews,"RT @AJEnglish: ⭕ LIVE: Powerful earthquake shakes Turkey and Syria as hundreds reported dead.

Latest updates: https://t.co/vaDS1PWoej http…"
28,2023-02-06 03:18:42,AJENews,Deaths reported after a strong earthquake hits southern Turkey near Syria border https://t.co/HoPFTm5GgO https://t.co/LfvCQiillc
29,2023-02-05 06:33:33,AJENews,BREAKING: Pakistani former President Pervez Musharraf dies aged 79 https://t.co/L2bdXg7QKF https://t.co/AigAVl8yYt
30,2023-02-03 14:17:32,AJENews,BREAKING: China says balloon over US airspace is civilian airship https://t.co/14cZ28pIYO https://t.co/VYbzmxLBru
31,2023-01-30 11:57:08,AJENews,PM Shehbaz Sharif condemns the bombing and orders authorities to ensure the best possible medical treatment for victims https://t.co/DXbORrWHHR https://t.co/0eAXKOs62W
32,2023-01-30 10:15:35,AJENews,"At least 25 people killed and about 140 others injured in the blast, police tell Al Jazeera https://t.co/DXbORrWHHR https://t.co/X7VxMBrOtr"
33,2023-01-30 09:15:41,AJENews,BREAKING: Dozens injured in blast at busy mosque in Pakistan’s Peshawar https://t.co/DXbORrWHHR https://t.co/HwLCim6h6R
34,2023-01-27 19:05:05,AJENews,BREAKING: Gunman wounds at least 5 people in East Jerusalem attack https://t.co/rKYH1r16YC https://t.co/Bi8z9H4ZRR
35,2023-01-27 07:00:01,AJENews,BREAKING: One person killed in armed attack on Azerbaijan embassy in Iran https://t.co/tPlINhSYC2 https://t.co/vYb79DQzW9
36,2023-01-26 10:37:01,AJENews,"At least nine dead, Israeli forces pull out of Jenin after one of the deadliest raids in the occupied West Bank in years https://t.co/Dm3abIhNWE https://t.co/ThtT7jA9t3"
37,2023-01-26 09:02:41,AJENews,"UPDATE: Death toll rises to eight, including elderly woman, according to Palestinian officials https://t.co/Dm3abIhNWE https://t.co/oUIiSLzEed"
38,2023-01-26 07:51:28,AJENews,BREAKING: Israeli raid kills three Palestinians in Jenin fighting https://t.co/Dm3abIhNWE https://t.co/zkqE1viZLo
