,Time,User,Tweet
0,2022-07-05 17:57:31,AlHudoodnetEn,"Erdogan and MBS sign counter-journalism agreement
https://t.co/EewVDZNH0k"
1,2022-07-04 16:23:42,AlHudoodnetEn,"Germany wins Israeli endowment to repress Palestinians abroad
https://t.co/bQbbP6aXzG"
2,2022-06-30 15:23:03,AlHudoodnetEn,"India apologizes for hate speech against Muslims and pledges to only ethnically cleanse them
https://t.co/Vc1hFkkt5p"
3,2022-06-25 04:53:00,AlHudoodnetEn,"Saad Lamjarred in Arab world tour to advocate for rape culture
https://t.co/zoehgyrJIu"
4,2022-06-07 15:23:01,AlHudoodnetEn,"Sisi prophecies Egypt will endure seven years of crap followed by seven years of famine
https://t.co/zGmxQ9ol3m"
5,2022-06-05 15:23:01,AlHudoodnetEn,"Turkey and Syria agree to repatriate 50% of every refugee
https://t.co/jzqe6d3yJO"
6,2022-05-20 16:36:54,AlHudoodnetEn,"Israel accuses Shireen Abu Akleh’s coffin of fomenting unrest

https://t.co/ZNVvyOtUpo"
7,2022-05-17 15:23:01,AlHudoodnetEn,"Assad pledges support for Putin, vows to bomb hospitals in any rebellious Russian city
https://t.co/8OMG8Az387"
8,2022-05-14 04:53:00,AlHudoodnetEn,"Israeli forces neutralise Palestinian journalist threatening to blow up public opinion with a press vest
https://t.co/JVzzvz62YY"
9,2022-05-11 15:16:41,AlHudoodnetEn,#BREAKING : Western media announces death of Palestinian journalist after intercepting stray bullet https://t.co/C8wI6EVeGm
10,2022-03-08 10:06:01,AlHudoodnetEn,"US imposes strict sanctions on Russia so Putin will learn a lesson by watching his people suffer
https://t.co/HNi1eXchut"
11,2022-03-05 16:23:01,AlHudoodnetEn,"Western media condemns invasion of white #Ukraine and proposes a few coloured alternatives

https://t.co/1DDk9ifeOi"
12,2022-03-01 18:37:42,AlHudoodnetEn,Differentiating between communism and Putin: AlHudood’s guide for leftist comrades https://t.co/FWnJXl9I2H
13,2022-01-21 16:23:01,AlHudoodnetEn,"Man violates cat’s rights at home and encroaches on her bed
https://t.co/iuWbE5qcCY"
14,2022-01-19 17:51:18,AlHudoodnetEn,#Breaking: Israeli police find an intact copy of International Law amongst Sheikh Jarrah family's home rubble https://t.co/uIz1bpTHF2
15,2022-01-19 16:23:03,AlHudoodnetEn,#Breaking: Israeli police finds an intact copy of International Law amongst Sheikh Jarrah family's home rubble https://t.co/he1PpahaPo
16,2022-01-14 16:23:00,AlHudoodnetEn,"UAE compensates Yemen for withdrawing from the war with weapons shipment
https://t.co/cayLBBZNhF"
17,2022-01-14 10:06:03,AlHudoodnetEn,#Todays_Fortune https://t.co/luUOoyFsfD
18,2022-01-07 16:23:00,AlHudoodnetEn,"Man in his 30s still believes in Santa Claus, ghouls and a brighter future
https://t.co/mCd0WD1qOU"
