,origin,tweet,label
0,ARC,منقولة  هذا الريس يستحق الحب والاحترام  رئيس كوريا الشمالية كيم يونغ يؤكد أن فيروس كورونا لن ينتشر في بلاده لأنه سيتم إعدام اي شخص يصاب به😂😂  (صاحب الحلول السريعة ) 🤷‍♂️  #محمد_علاوي_مرفوض,False
1,4IF,الخليجيون في مرمى دراسات #كورونا السريرية الصينيه. بعد الامارات، الصين تبدأ تجربة لقاح شركة سينوفارم ضد #كوفيد19 في البحرين. اكيد شايفين شي عندهم مو شايفينه في الكويت! https://t.co/yP9CGZqhSY,False
2,4IF,@mjamal110 تطعيم ٧ مليار بشر لان 0.011% منهم ماتوا والكثير بأرقام وهمية جميل جدا https://t.co/0h4IbkWqkM,False
3,ARC,انباء وتقارير صحفيه ايطاليه تتحدث عن اصابة #باولو ديبالا نجم يوفينتوس بفايروس #كورونا  ⚽⚽🏆🏆,False
4,ARC,صدام حسين يتكلم عن فيروس كورونا    #فيروس_كورونا,False
5,4IF,عالم بريطاني: فيروس كورونا سيبقى معنا إلى الأبد و لقاحات متكررة قد تكون الحل https://t.co/tiZy3UZYdg https://t.co/lV8Y4e0ioA,False
6,ARC,أنباء مؤكدة  إصابة تميم بن حمد أمير دويلة قطر الإرهابية بفيروس كورونا بعد استقباله مندوبة أمريكية حاملة للمرض قادمة من إيطاليا  نسأل الله أن يهلك الظالمين بما ظلموا,False
7,ARC,الدون كريستيانو رونالدو يقرر تحويل جميع فنادقه إلى مستشفيات للحجر الصحى ويتكفل برواتب جميع العاملين فيها الله عليك ما أروعك الإنسانية لا دين ولا جنسية لها يا سادة #الكورونا,False
8,ARC,لبنان تعلن انتهاء العام الدراسي بسبب انتشار مرض كورونا:,False
9,4IF,المصادر الطبية الأمريكية غاضبة من لقاح روسيا ضد فيروس #كورونا الذي بدأت في إنتاجه وتسويقه، وتقول المصادر الأمريكية إن اللقاح لم تجرى عليه مرحلة بحثية مهمة يفترض أن تتم، وأنه قد تم كسر كل المبادئ والإجراءات المعروفة التي تتبع لضمان أمان وفاعلية اللقاح.,False
10,ARC,وباء قاتل كل 100 سنة وسر خطير في رقم 20  1720 : الطاعون - مرسيليا - فرنسا .. 1820 : الكوليرا - اندونيسيا ، تايلند ، الفلبين .. 1920 : الانفلونزا الاسبانية - اسبانيا .. 2020 : كورونا - ووهان - الصين .. #فيروس_كورونا,False
11,ARC,🔴إصابة محمد بن زايد يعني هذا @MohamedBinZayed ب كورونا..  كشفت مصادر في الإمارات عن إصابة ولي عهد أبوظبي بفايروس كورونا القاتل معقوله تموت و ماتشوف الحوثي بدارك؟ معقوله تروح وتضيع لحظات دخول الحوثي للرياض؟ لو اكو علاج ميخالف الا إذا...  #محمد_بن_زايد_في_ذمه_الله #coronavirusus,False
12,ARC,😠😠 رغم أن #فيروس_كورونا انتشر بسبب التهام الصينيين لبعض لحوم الحيوانات الغير مألوفة...🦇🐿🐢🦉  إلا أن أحد المصابين بالمرض في غرف العزل بمستشفى في مدينة ووهان (مصدر المرض) قام بتصوير طعام المستشفى وقال أنهم قدموا له (لحم سلاحف) 😠😠,False
13,MFH,#اردوجان عندي وصفه طبيعيه تخلص العالم من الكورونا ومن الكمامات وترجعبالحياه الى طبيعتهاوتنقذ اقتصاد العالم من الانهيار ولا تبقي على احد مصابا بالكورونا والا وشفته باذن الله تعال لنعقد صفقه الفتح المبين . 972522878900 . انا حاضر ان اسلمها لكبارعلماء الطب ليتحققوا مما اقول .ناجحه .,False
14,MFH,وزير الصحة قال #لا_داعي_للهلع... وصل #فيروس_كورونا على #لبنان. حاكم مصرف لبنان قال #لا_داعي_للهلع بموضوع الليرة! صارت #الليرة_اللبنانية ب ٢٥٠٠ والله يستر من الجاي ⁧#سنموت_بعد_قليل,False
15,ARC,وثيقة فاضحة من هيئة الطيران القطري تبين سبب انتشار وباء كورونا في قطر بشكل خطير، منع السفر الى الكويت وعمان ومصر باستثناء إيران و تركيا,False
16,4IF,الNHS و الحكومة البريطانية عايزين أكتر من 100 ألف يتطوعوا للقاح. دي بتكون طريقة تانية عشان الناس تتطعم و اللقاح لسه ما عداش phase 3 يعني زي اللقاح الروسي. بس لأنها مش عايزة تبقى مسؤول أخلاقي و قانونيا بتقول اتطوعوا https://t.co/Ur87gb1qSk,False
17,ARC,ستقوم مروحيات عسكرية خاصة برش مبيدات ضد فايروس كورونا في سماء جميع محافظات مصر بدأ من الاسكندريه حتى أسوان  وبذلك يجب منكم البقاء في المنازل بعد الساعه الثانيه عشر ليلاً  حتى بزوغ الفجر وكل من لديه ملابس منشوره في الأسطح او اغراض خاصه بالأستعمال اليومي يجب ازالتها شيرو البوست !,False
18,ARC,صحيفة عاجل/ #الصين تعلن التوصل إلى علاج فعال ضد فيروس #كورونا الجديد  - عبر تطبيق نبض @NabdApp,False
19,ARC,#كورونا  اكتشاف فيروس كورونا يتنقل ايضا عن طريق الذباب والبعوض 🔴خطير 🔴كافحوا الذباب وعقموا منازلكم ضد كل الحشرات الطائرة   #الصحة  #المدينة  #الأمر_الملكي  #فيروس_كورونا  #خليك_بالبيت  #منع_التنقل_بين_المناطق  #الحجر_المنزلي,False
20,ARC,إصابة محمد بن زايد بفيروس #كورونا,False
21,ARC,#فيروس_كورونا  #الصين بعيدا عن تحليلات البعض حول سبب هذا المرض وحيرتهم عن السبب تعالوا انا عرفت السبب الرئيسي لهذا المرض هو القرف اللي يأكل فيه مطيب نيتهم  ما عقبوا  حاجة وما كلوها حشاكم  الكلاب وجميع انواع الحشرات والسحالي والضفادع وزاد اخرى الفئران ما نجت من ترمريمهم😣,False
22,MFH,بالصين أي حيوان يلاقونه ياكلونه وبالهند أي حيوان يلاقونه يعبدونه وبالكويت أي حيوان يلاقونه ينتخبونه  عرفتوا ليش صارت الكورونا بالكويت الحين ؟  #البنفسجي  #بو_حواجب   #الكويت_كورونا,False
23,MFH,كنت دايماً ردد هالجملة  بتحبل بالصين بتخلِّف عنا مبروك ما إجانا مش مهم صبي أو بنت مهم الخلقة الكاملة #كورونا  #لبنان_الجديد #لبنان #لا_داعي_للهلع  #سنموت_بعد_قليل #اقفلوا_المدارس,False
24,ARC,تناول الثوم قد يحمي من فيروس #كورونا,False
25,4IF,"#فكر_من_جديد ✋🤔 هناك علامات حمراء في كل من تجارب لقاح أكسفورد ومودرن كوزيفت-19. لماذا يحتاج باحثو أوكسفورد إلى إضافة بروتوكول جديد لإعطاء الناس عقار الاسيتامينوفين كل 6 ساعات لمدة 24 ساعة بعد الحقن؟!! ""آثار جانبية"" يمكن أن تكون سيئة للغاية . https://t.co/tjdy2pLkyY",False
