,tweet,label
0,erdogan and mbs sign counter-journalism agreement,satire
1,germany wins israeli endowment to repress palestinians abroad,satire
2,india apologizes for hate speech against muslims and pledges to only ethnically cleanse them,satire
3,saad lamjarred in arab world tour to advocate for rape culture,satire
4,sisi prophecies egypt will endure seven years of crap followed by seven years of famine,satire
5,turkey and syria agree to repatriate 50% of every refugee,satire
6,israel accuses shireen abu akleh’s coffin of fomenting unrest,satire
7,"assad pledges support for putin, vows to bomb hospitals in any rebellious russian city",satire
8,israeli forces neutralise palestinian journalist threatening to blow up public opinion with a press vest,satire
9,western media announces death of palestinian journalist after intercepting stray bullet,satire
10,us imposes strict sanctions on russia so putin will learn a lesson by watching his people suffer,satire
11,western media condemns invasion of white  ukraine and proposes a few coloured alternatives,satire
12,differentiating between communism and putin: alhudood’s guide for leftist comrades,satire
13,man violates cat’s rights at home and encroaches on her bed,satire
14,israeli police find an intact copy of international law amongst sheikh jarrah family's home rubble,satire
15,israeli police finds an intact copy of international law amongst sheikh jarrah family's home rubble,satire
16,uae compensates yemen for withdrawing from the war with weapons shipment,satire
18,"man in his 30s still believes in santa claus, ghouls and a brighter future",satire
19,latest version of google recaptcha requires users to reproduce classical renaissance paintings,satire
24,ikea launches new space-saving tool that folds people,satire
26,whitewashing occupation atrocities added to prerequisites for choosing miss universe,satire
27,"mbz: if you can't beat them, buy them",satire
28,partners too lazy to break off 15 year relationship,satire
32,uk and france induct 50 crocodiles into joint coast guard team to aid in migrant crisis,satire
34,west condemns emergence of new covid variants in africa despite providing it with some vaccines every now and then,satire
35,microscopic virus proves smarter than anti-vaxxer with 86 billion neurons,satire
38,man signs up for free online course to increase daily emails he ignores,satire
40,ministry of defence develops anti-hope missile technology,satire
41,new emirati interpol president vows to enhance international torture best practices,satire
43,eu rebuilds dismantled internal walls around the continent,satire
45,qatar to give cash prize to any asian worker who survives world cup preparations,satire
46,qaddafi jr. in his father's shoes - caricature by loai hazem,satire
47,google launches new version of chrome that uses up all ram without needing to open additional tabs,satire
52,"in a joint statement, industrial superpowers urged people to be the change they want to see in the world.",satire
53,hashd militias demand redo of iraq elections on neutral ground like tehran,satire
54,hashd militias condemn assassination attempt against pm kadhimi and its failure,satire
55,sisi promises alaa abd el-fattah trial if attorneys can guess his charges,satire
58,"government to boost heavy industries including biscuit, crisp and bubble gum production",satire
59,mbs takes over newcastle united to demonstrate good sportsmanship by standing up for the underdog,satire
60,macron nostalgic for good old days in ceremony marking police massacre of algerian protesters,satire
61,eu declares syria safe for refugees after rifat al-assad returns home,satire
63,gulf rulers to set aside parts of uk land for ownership by british citizens,satire
64,lebanese politicians plan new disaster to distract away from the beirut port explosion,satire
65,new saudi arabia demands un recognition,satire
71,300 iraqi and kurdish personalities demand normalization with israel due to need for new foreign intervention,satire
74,man to honk horn continuously until sound waves push vehicles in traffic,satire
75,bashar al-assad joyful lebanese power supply will pass through syria,satire
76,publishing house thanks reader for buying book he could have pirated by gifting him its whole library,satire
77,mbs denounces us for holding saudi arabia accountable for mistake that occurred before he hit puberty,satire
78,the us commemorates 20 years of its collective punishment of muslims,satire
79,taliban urges us and isis to fight elsewhere while it builds a modern state,satire
80,ikea launches new space-saving tool that folds people,satire
81,eu sends plane with enormous wings to kabul to rescue as many afghans as possible,satire
82,israel welcomes anhar al-deek’s newborn with extra small handcuffs and a baby-sized prison jumpsuit,satire
83,وأظهرت الدلائل الأولية ضلوع معلّم التربية الوطنية في تسميم الأطفال,satire
85,"detained man testifies that he only uses vpn to access porn, not banned  websites",satire
86,algeria demands international community move morocco away from its border,satire
88,us forces save a dog from afghans fighting for his seat on an evacuation plane,satire
90,taliban disappointed us did not lay out red carpet on road to presidential palace,satire
92,israeli authorities interrogate ben &amp; jerry's cookie dough tub over bds links,satire
94,aoun confident criminal investigation of akkar's explosion will reach a dead-end,satire
96,"president michel aoun said he is confident that the planned investigation into the akkar explosion that killed and injured dozens of people will satisfy all involved parties, as it will definitely lead to a deadend.",satire
97,aoun orders emergency personnel into akkar to rescue remaining fuel,satire
99,"“it is a sport that often has bad consequences such as causing you to insult god or other people’s mothers, and is quite violent and the players are overly sexualized,” he said.",satire
102,"“the lebanese want culprits and we will give them some, the judges are strict, firm, strong and totalitarian, capable of handing down death sentences without batting an eyelid,” he said.",satire
103,"nothing to worry about for a population that relies on tramadol and xanax to survive to the end of any day.
 lebanon  hezbollah  israel",satire
106,the spokesman declared this decision to be an efficient and feasible response to the refugee crisis and the growing flow of immigrants.,satire
108,"after missing a few previous dates for its withdrawal from iraq, the united states intends to set a date for its intention to set a date to determine the date of its troops completely withdrawing from the country.",satire
110,"“we will attack them with all our strength so the israeli enemy sees we have no mercy towards our neighbors and friends,” he said. “then they will fear what we shall do to them, our enemy for decades, when we liberate jerusalem.”",satire
111,"“it was only by divine intervention that i forgot my wallet at home and had to go back, only to catch him in the middle of his brazen act, at the height of pleasuring himself by sitting right in front of the ac, enjoying its cool breeze,” he said.",satire
