,tweet,label
0,iran and saudi arabia ‘agree to restore relations’,real
1,israeli emergency services say three injured in tel aviv shooting,real
2,israeli forces kill at least 6 palestinians in latest jenin raid,real
3,at least nine soldiers killed in pakistan suicide attack,real
4,cambodia opposition leader kem sokha sentenced to 27 years under house arrest,real
5,"tinubu wins nigeria’s tight presidential elections 

live  s:",real
6,bola tinubu wins controversial nigerian presidential election,real
7,"at least 32 killed, dozens injured in greece train crash",real
8,russia-ukraine live   situation around bakhmut ‘extremely tense’,real
9,at least one killed as magnitude 5.6 earthquake hits turkey,real
10,polls have opened in nigeria's presidential vote. follow live  s here,real
11,nigeria election 2023 live: nation poised for presidential vote,real
12,israeli forces kill two palestinians in nablus raid,real
13,"turkey-syria earthquakes live: three killed, hundreds injured",real
14,new 6.4-magnitude earthquake hits southern turkey,real
15,us president joe biden makes unannounced visit to kyiv: reports,real
16,"north korea fires ballistic missile, south korean military says",real
17,"turkey-syria earthquakes live   death toll passes 45,000",real
18,armed men attack police station in karachi,real
19,scotland’s first minister nicola sturgeon resigns,real
20,"a turkish woman saved 222 hours after deadly earthquakes hit turkey, syria. 

follow latest  s:",real
21,at least three killed in michigan university shooting,real
22,"turkey-syria earthquake live   death toll crosses 33,000",real
23,"survivors still being found as quake death toll tops 28,000",real
24,first un aid since quake crosses into northwest syria from turkey,real
25,ukraine’s zelenskyy to meet pm sunak in first wartime trip to uk,real
26,"rt   two major earthquakes and aftershocks have caused devastation and killed at least 1,800 people across southeast turkey and n…",real
27,"rt    live: powerful earthquake shakes turkey and syria as hundreds reported dead.

latest  s:",real
28,deaths reported after a strong earthquake hits southern turkey near syria border,real
29,pakistani former president pervez musharraf dies aged 79,real
30,china says balloon over us airspace is civilian airship,real
31,pm shehbaz sharif condemns the bombing and orders authorities to ensure the best possible medical treatment for victims,real
32,"at least 25 people killed and about 140 others injured in the blast, police tell al jazeera",real
33,dozens injured in blast at busy mosque in pakistan’s peshawar,real
34,gunman wounds at least 5 people in east jerusalem attack,real
35,one person killed in armed attack on azerbaijan embassy in iran,real
36,"at least nine dead, israeli forces pull out of jenin after one of the deadliest raids in the occupied west bank in years",real
37,"death toll rises to eight, including elderly woman, according to palestinian officials",real
38,israeli raid kills three palestinians in jenin fighting,real
39,biden: us to send 31 abram tanks to ukraine,real
40,nine killed in shooting near los angeles after lunar new year festival,real
41,"two dead, dozens injured in stampede at iraqi football stadium",real
42,ukraine helicopter crash: what we know so far,real
43,"at least 16 people, including two children, killed after the helicopter crashed near a nursery outside kyiv, officials say",real
44,ukraine interior minister killed in helicopter crash: police,real
45,philippines’s maria ressa and her  site rappler acquitted of tax evasion,real
46,"pm pushpa kamal dahal said the plane was flying from the capital, kathmandu, to pokhara in central nepal.

— in pictures",real
47,timeline: nepal air crashes since 2010,real
48,"at least 16 people killed when the aircraft crashed in pokhara, according to an army spokesman",real
49,plane with 72 people on board crashes in nepal,real
50,ukraine refutes moscow’s claims it captured soledar.,real
51,"residential building hit in kyiv region: officials.

follow all the latest  s:",real
52,russian missiles hit critical infrastructure in ukraine’s capital,real
53,iran hangs former defence ministry official for spying,real
54,explosion outside afghan foreign ministry in kabul,real
55,jair bolsonaro supporters storm brazil’s congress,real
56,republican kevin mccarthy elected us house speaker,real
57,italy’s football star gianluca vialli dies aged 58,real
58,"in provocation, israel far-right minister enters al-aqsa compound",real
59,"israeli air raid kills two syrian soldiers, puts damascus international airport out of service, says syria's military",real
60,pope emeritus benedict xvi dies at age 95,real
61,"an attack in eastern syria killed 10 oil field workers, state  agency sana has reported",real
62,brazilian football legend pele dies at age 82,real
63,benjamin netanyahu sworn in as prime minister of israel’s most right-wing government in history,real
64,at least two people dead after shooting in paris,real
65,us capitol riot: lawmakers recommend filing charges against trump,real
66,three jordanian police killed during raid on hideout in maan,real
67,irish soldier killed after un convoy attacked in lebanon,real
68,follow the nobel peace prize award ceremony live,real
69,brittney griner lands in the us after russia prisoner exchange,real
70,russia frees us basketball star brittney griner in prisoner swap,real
71,iran conducts first protest-related execution,real
72,"rt   this year’s  fifaworldcup has been full of surprising wins and shocking moments.

join  ajespaces &amp;   with",real
73,jubilant morocco reach world cup quarter-finals,real
74,al jazeera takes the killing of shireen abu akleh to the icc,real
75,iran prosecutor general signals ‘morality police’ suspended,real
76,"at least 15 killed in afghanistan school bombing, says official",real
77,world cup 2022 live: spotlight on usa vs iran on crucial day,real
78,"it's day nine of the world cup and more teams fight to avoid early exit.
follow latest  s here:",real
79,‘explosion targets’ mogadishu hotel used by somali officials,real
80,"world cup 2022 live: germany, croatia aim for survival",real
81,"world cup live: d-day for argentina, history beckons for saudis. follow the latest  s:",real
82,"rt   cameroon in 1990, senegal in 2002 and ghana in 2010 - all reached the  fifaworldcup quarter-finals. 

can they do it again o…",real
83,world cup 2022 live   qatar to play in round two of group stage,real
84,"rt   for better or worse? when var was introduced at the 2018  fifaworldcup, it changed the tournament.

so what's in store at  q…",real
85,saudi arabia beats argentina in shock upset,real
86,two killed in turkey after rockets fired from syria. more soon on,real
88,world cup 2022 live   six teams face off in qatar on day two,real
89,enner valencia's double helps ecuador see off qatar in tournament's opener - all the latest  s,real
90,fans arrive for opening match at al bayt stadium ahead of the fifa world cup opening ceremony in al khor,real
91,world cup 2022 live: qatar prepares for historic kickoff,real
92,oil tanker hit by armed drone off coast of oman: official,real
93,g20 leaders declaration denounces ‘russian aggression’ in ukraine,real
94,trump says he will run for president again in 2024,real
95,"iran rockets hit kurdish party hq in iraq’s erbil, kill one",real
96,turkish police arrest 'person who left the bomb' that caused the deadly explosion on istanbul's istiklal avenue,real
97,"at least six people have been killed and more than 80 were wounded in what appears to be a ""terrorist attack,"" according to vice president fuat oktay",real
98,several injured in explosion in central istanbul: turkish media,real
99,russia orders troop withdrawal from ukraine’s kherson city,real
100,russia orders troops to pullback from kherson city,real
102,tanzania’s precision air plane crashes into lake victoria,real
103,pakistan’s ex-pm imran khan injured by gunfire during march,real
104,parkland school shooter nikolas cruz sentenced to life in prison,real
105,ethiopia’s warring sides agree ‘cessation of hostilities’: au,real
106,"bolsonaro breaks silence, says will follow brazil’s constitution",real
107,netanyahu poised for comeback in israeli election: exit polls,real
108,lula da silva narrowly defeats jair bolsonaro in brazil election,real
109,at least 30 people killed in bridge collapse in india: reports,real
110,at least 59 people were killed in a major stampede in south korea’s capital seoul,real
111,‘scores of casualties’ after twin blasts in somalia’s capital,real
112,attack on shiraz shrine kills 15: iranian state media,real
113,rishi sunak wins race to become the uk’s new prime minister,real
114,"car explosion, gunfire hit hotel in somalia",real
115,"china's xi jinping secures historic third term, stacks top governing body with loyalists",real
116,pakistan election commission disqualifies former pm imran khan,real
117,uk prime minister liz truss steps down after six weeks in office,real
118,aircraft crashes into russian residential building in yeysk city,real
119,jan 6 hearing live   panel votes to subpoena trump,real
120,north korean aircraft buzz south korea border; fighters scrambled,real
121,"iraqi parliament elects new president,  political impasse",real
122,several loud explosions heard in ukrainian capital,real
123,"ukraine, russia, belarus rights activists win nobel peace prize",real
124,swedish scientist svante paabo wins nobel prize for medicine,real
125,"burkina faso’s military leader damiba deposed, army captain says",real
126,ukraine accelerates bid to join nato after russia’s annexation,real
127,"heavy gunfire, soldiers on the streets in burkina faso capital",real
128,"russian attack kills 23 in civilian convoy in ukraine,  governor says",real
129,suicide attacker kills at least 19 in afghanistan school blast,real
130,italy’s right-wing alliance set for election victory: exit polls,real
131,"rt   al jazeera’s   has obtained the largest leak in british political history, exposing how unelected labour party offici…",real
132,casualties after blast near mosque in afghanistan’s capital,real
133,new york attorney general sues donald trump for fraud,real
134,the japan meteorological agency has lifted its tsunami warning.,real
135,tsunami alert issued after major quake strikes off taiwan,real
136,tennis great roger federer announces retirement,real
137,last reactor at ukraine’s zaporizhzhia nuclear plant shut down,real
138,accession council declares king charles iii sovereign,real
139,uk’s queen elizabeth ii has died at the age of 96,real
140,doctors ‘concerned’ for health of britain’s queen elizabeth,real
141,israel says ‘high possibility’ its army killed shireen abu akleh,real
142,"liz truss becomes uk’s new prime minister, conservative leader",real
143,kenya’s supreme court upholds ruto’s win in presidential election,real
144,"explosion at afghanistan mosque kills prominent cleric, civilians",real
145,"russia, ukraine trade blame for attacks near nuclear plant amid un visit",real
146,muqtada al-sadr tells followers to leave iraq green zone after night of violence,real
147,deadly clashes and chaos in iraq after moqtada al-sadr quits. follow live  s here:,real
148,muqtada al-sadr announces 'full withdrawal' from iraqi politics after months of tensions,real
149,malaysia top court upholds ex-pm najib’s conviction in 1mdb case,real
150,william ruto wins kenyan presidential election,real
151,commotion at tally centre in nairobi,real
152,uneasy calm in kenya as results awaited in tight election,real
153,"explosion hits market in armenia’s capital yerevan, according to reports",real
154,"several killed in egyptian church fire, according to health ministry",real
155,eight israelis wounded after gunman opens fire in jerusalem's old city,real
156,author salman rushdie attacked on stage in new york,real
157,"armed man holds beirut bank staff hostage, demands savings amid lebanon economic crisis",real
158,"rt   a truce has been implemented between israel and the palestinian islamic jihad. 

israel’s three-day bombardment of gaza has…",real
159,"chad military gov’t, opposition groups sign peace deal in qatar",real
160,"israel, islamic jihad announce ceasefire in gaza",real
161,ceasefire expected to be announced in gaza on sunday,real
