"doc_id","text"
1,"#عاجل: أنباء عن وجود حكومة في لبنان بعد صدور قرار بمنع السوريين من التعليم https://t.co/0CoKkerIrE"
2,"#عاجل: السيسي ينشئ صندوقاً وطنياً لدفن المعتقلين https://t.co/NlHYSbAdHf"
3,"#عاجل: بعد إغرائه بعقد عمل وحياة رغيدة، مالك نادي النصر يسحب جواز سفر رونالدو ويمنعه من السفر https://t.co/WLAqKoNv56"
4,"#عاجل: مطالب شعبية بشطب كلمة «جواز» رسمياً من جوازات السفر السورية https://t.co/8leHl8gog3"
5,"#عاجل: انقطاع الكهرباء يتسبب بمرور بابا نويل فوق سوريا ولبنان دون ملاحظتهما https://t.co/Xf91OXnEl5"
6,"#عاجل: نواب من حزب مستقبل وطن يؤكدون أن لا طريق للمستقبل إلا من خلال بيع الماضي https://t.co/geIYEpGxxb"
7,"#عاجل: وفا تل تعد السوريين بتحول ثوري إيراني جمهوري إسلامي بالاتصالات السورية https://t.co/lfR3PPHImZ"
8,"#عاجل: تحقيقات الجيش الإسرائيلي تثبت أن القناص الذي قتل جنى لم يتعمد إصابتها بخمس رصاصات في الرأس والرقبة والصدر https://t.co/ebL8Ootbl1"
9,"#عاجل: العفو عن نواب مصريين متهمين بتهريب الآثار كونها فقدت قيمتها أمام إنجازات السيسي https://t.co/ZAw6oCN7sH"
10,"#عاجل: القضاء العراقي يرفض تصديق فكرة وجود ناشط لم يشتم الحشد الشعبي https://t.co/Pql1YVANWN"
11,"#عاجل: ملك المغرب يشعر بالقلق لمدى تشابه علم فلسطين بعلم الصحراء الغربية https://t.co/jO3TUPuowK"
12,"#عاجل: هرتزوغ يهدي ملك البحرين بروازاً فيه صورة للفلسطينيين الذين قتلهم الجيش الإسرائيلي منذ التطبيع لغاية اللحظة https://t.co/qgo8VDXztb"
13,"#عاجل: محمد بن زايد ينقل لهرتزوغ تحيات تميم بن حمد وقائمة أسماء المشجعين الداعمين لفلسطين https://t.co/i6kB3qRkmc"
14,"#عاجل: بن غفير يوعز للإمارات بتمويل فيلم ملحمي عن قيام إسرائيل يدحض ادعاءات فيلم فرحة https://t.co/4KM41lkDqs"
15,"#عاجل: إردوغان يقصف الشمال السوري بما أن الطقس بارد ولا يوجد عدس في المنزل والتلفاز معطل https://t.co/gSlZ4LAUiK"
16,"#عاجل: صحفي إسرائيلي يطالب بقتل خمسة صحفيين فلسطينيين انتقاماً لكرامته المهدورة https://t.co/MooJvtWQSw"
17,"#عاجل: ابن سلمان يؤكد أن الأمور كلها تميم https://t.co/uj6Z8zwseY"
18,"#عاجل: إيلون ماسك يعيد حساب ترامب ليُشتت الناس قليلاً عن غبائه https://t.co/hDdMjEbgdJ"
19,"#عاجل: تصفيق حار بعد تمرير وثيقة 12/فق/56/هه/97 في جلسة قمة المناخ https://t.co/Bsgk8dIymg"
20,"#عاجل: قادة العالم يأخذون إجازة طويلة في شرم الشيخ https://t.co/nR5zX4o2nd"
21,"#عاجل: الإسرائيليون يختارون نتنياهو بطلاً لمسابقة قتل الفلسطينيين https://t.co/4qA1inALMo"
22,"#عاجل: أميركا تدعو البرازيليين لاحترام نتيجة الانتخابات وعدم الانجرار إلى حرب أهلية تدعم اليمينيين فيها بالمال والسلاح والخبراء والسي آي إيه https://t.co/ixujqdQxg3"
23,"#عاجل: السيسي يؤكد استعداده لتعويم مصر بمن فيها إذا حصل على مليار دولار إضافي https://t.co/hnIHhLK5fY"
24,"#عاجل: الحكومة العراقية تستنكر نشر خبر توزيعها 2.5 مليار دولار من أرباح ملاكها على أنه سرقة https://t.co/107Vl9JkUz"
25,"#عاجل: دبي تمنح رومان أبراموفيتش الإقامة الذهبية عن فئة المبدعين في تفادي العقوبات https://t.co/SWPqGKaCpj"
26,"#عاجل: نصر الله ينتقد إيران في قضية مهسا أميني لاعتراف الحكومة بمقتلها من الأساس https://t.co/VvEr1qdzpI"
27,"#عاجل: بوتين لأوروبا: إعمل غاز و إرمي في البحر https://t.co/MZ8QxuvsVE"
28,"#عاجل: خامنئي يُحلّ وأد المرأة https://t.co/5ViNhCqu1F"
29,"#عاجل: التلفزيون الإيراني: مسيرات عفوية في كافة أنحاء إيران لشكر الله على نعمة المطر https://t.co/QQhiVKYHpZ"
30,"#عاجل: بوتين يخطط للانتصار على أوكرانيا من خلال تعبئتها بمدنيين روس https://t.co/DxXELlt9KO"
31,"#عاجل: السلطة الفلسطينية ترفض ترك إسرائيل منفردة في الميدان بمواجهة شباب الضفة https://t.co/SRLyPLLrdU"
32,"#عاجل: إيران تطلق شعبة شرطة الأزياء https://t.co/emXHlZh5pV"
33,"#عاجل:  الأردن يفتح تحقيقاً بمزاعم هيومن رايتس ووتش حول وجود حيّز مدني https://t.co/IUFilo23zE"
34,"#عاجل: قيس سعيد يصدر قراراً بحل الأزمة الاقتصادية في تونس https://t.co/Jn1bh1zvpb"
35,"#عاجل: محور المقاومة يعزز صفوفه بمجموعة من الخطباء المفوّهين https://t.co/Nb1tAcgHV3"
36,"#عاجل: الحكومة السورية تؤكد أن تفشي الكوليرا إشاعة مثلها مثل كوفيد والمعارضة والحرب https://t.co/JNXXGwWXmt"
37,"#عاجل:  البنوك اللبنانية تطالب النظام مدها بالسلاح للصمود في وجه الشعب https://t.co/IlRfrqENcX"
38,"#عاجل: مسؤولون أردنيون يهرعون لتفقّد المبنى المنهار وزوايا التصوير المناسبة https://t.co/C7W2JRnrz4"
39,"#عاجل: محمد بن سلمان يؤكد أن الدنيا حظوظ
 
#وفاة_الملكة_اليزابيث https://t.co/uk7ndTUKqi"
40,"#عاجل: الصحافة السورية تؤكد: رحلت إليزابيث وبقي الأسد https://t.co/Dz0y4e5mre"
41,"#عاجل: دول الخليج تعلن توسيع نطاق الخدمات الرقابية لديها لتشمل خدمات البث العالمية https://t.co/ZyhNwpQqNY"
