,Time,User,Tweet
0,2023-03-12 22:59:00,TheOnion,Anna Paquin secured the 1993 Oscar for Best Supporting Actress despite not even being born yet. https://t.co/JLeLH6dUuA
1,2023-03-12 22:30:06,TheOnion,Archaeological Dig Uncovers Ancient Race Of Skeleton People https://t.co/q5VxJMxJ3c https://t.co/jjbRjvw24L
2,2023-03-12 22:00:10,TheOnion,Hollywood’s Biggest Stars Explain Why The Oscars Are Still Relevant https://t.co/Ddvm4Hv3lt https://t.co/sdjDxAuWzG
3,2023-03-12 21:30:06,TheOnion,Eight-Pound Man Removed From Woman's Vagina https://t.co/KgSYGIooOW https://t.co/QiFSCGbmkB
4,2023-03-12 20:30:06,TheOnion,Girl Moved To Tears By 'Of Mice And Men' Cliffs Notes https://t.co/33SW5HqMf9 https://t.co/YYUqnKhvEQ
5,2023-03-12 20:20:00,TheOnion,The Onion's film critic reflects on the fact that virtually all this year's Oscar nominees are his children. https://t.co/O19VkpySbL
6,2023-03-12 20:00:03,TheOnion,"Acceptance speeches are a cornerstone of the Academy Awards ceremony and have provided their share of tears, laughter, and controversy over the years. The Onion looks back at the most memorable Oscars acceptance speeches of all time. https://t.co/VDXcfJWfmR"
7,2023-03-12 19:42:03,TheOnion,"When she walked on stage to accept her 2013 Oscar for Best Actress, the earth opened up and plunged a stunned Jennifer Lawrence into the fiery depths of Hades, from which she never again returned to the realm of the living. https://t.co/PpujDEs0Dr https://t.co/XkbLVqnVnA"
8,2023-03-12 19:30:06,TheOnion,Oscars Committee Announces Plan To Shorten Ceremony To Single-Millisecond Flash Of Blinding White Light https://t.co/RCJrZ7qq3v https://t.co/BXfj4rlE2r
9,2023-03-12 19:00:05,TheOnion,https://t.co/nW5H4ffIPe
10,2023-03-12 18:30:06,TheOnion,Area Woman's Baseless Hatred Of Anne Hathaway Reciprocated https://t.co/2yY5TBBWzZ https://t.co/7wGtTknAEv
11,2023-03-12 18:00:12,TheOnion,Hollywood’s Biggest Stars Explain Why The Oscars Are Still Relevant https://t.co/Ddvm4HvBb1 https://t.co/EsNPLLGOTy
12,2023-03-12 17:30:06,TheOnion,Oscars Officials Warn Only Famous Actors Permitted To Get Political In Acceptance Speech https://t.co/s7jwnYzynZ https://t.co/F7p3KFOQ16
13,2023-03-12 17:00:12,TheOnion,https://t.co/EmtHHkysoS https://t.co/6nZk1GFcH8
14,2023-03-12 16:30:08,TheOnion,Longtime Coffee Shop Employee Thought Customers Would Care More About His Last Day https://t.co/pZO8d0cXL4 https://t.co/h0B0QSrcQH
15,2023-03-12 16:00:08,TheOnion,The Onion Reviews ‘Scream VI' https://t.co/ZncOlOYDk7
16,2023-03-12 15:30:07,TheOnion,‘Sesame Street’ Introduces First Enigmatic Muppet Who Has Yet To Reveal True Intentions https://t.co/5I9qgLNkai https://t.co/EVt8hfdi3Z
17,2023-03-12 14:30:07,TheOnion,Phone Call With Dad Just Watered-Down Version Of Phone Call With Mom https://t.co/fEKEytkthv https://t.co/Ui5NJmcb4F
18,2023-03-12 14:00:18,TheOnion,Hollywood’s Biggest Stars Explain Why The Oscars Are Still Relevant https://t.co/Ddvm4Hv3lt https://t.co/bV2piPVYmk
